KAM,ACCX_F4,ACCY_F4,ACCZ_F4,GYRX_F4,GYRY_F4,GYRZ_F4,ACCX_ED,ACCY_ED,ACCZ_ED,GYRX_ED,GYRY_ED,GYRZ_ED,ACCX_C0,ACCY_C0,ACCZ_C0,GYRX_C0,GYRY_C0,GYRZ_C0,ACCX_46,ACCY_46,ACCZ_46,GYRX_46,GYRY_46,GYRZ_46,LFET_RECTUS_FEM,LEFT_VLO,LEFT_VMO,RIGHT_RECTUS_FEM,RIGHT_VLO,RIGHT_VMO
0.130392942,0.201,-0.001,1.015,26.184,15.503,-5.737,-0.016,0.333,1.054,50.964,6.897,27.1,-0.061,0.366,0.563,262.207,37.598,136.902,0.029,-0.125,0.172,9.46,-10.437,-0.793,0.575206883,-0.204550062,0.120960808,-0.095361042,-0.497057733,0.076322483
0.148984305,0.032,-0.018,1.017,35.217,24.902,-7.813,0.05,0.405,1.035,59.509,15.137,37.598,0.078,0.631,0.831,304.749,36.316,133.972,-0.105,-0.171,0.278,-12.756,21.24,-2.686,-0.166250285,-0.160357943,-0.159279324,-0.118430572,-0.371323025,-0.046774459
0.160025296,-0.15,0.082,1.154,47.424,32.471,5.066,0.175,0.452,1.02,48.462,1.099,43.701,-0.061,0.366,0.563,262.207,37.598,136.902,0.029,-0.125,0.172,9.46,-10.437,-0.793,-0.297550297,0.016409037,0.188897978,0.00680197,0.969859787,-0.116859014
0.174185554,-0.072,0.268,0.99,-42.664,13.367,-11.353,0.093,0.429,1.076,62.988,6.714,34.485,-0.735,1.338,0.984,456.97,107.788,162.537,-0.105,-0.171,0.278,-12.756,21.24,-2.686,0.304884221,-0.189819195,-0.227216495,-0.016267129,0.634564943,-0.120453154
0.200728592,0.02,-0.054,1.066,40.405,17.578,-0.366,0.074,0.472,1.097,55.115,21.301,30.151,-0.734,0.762,1.009,-135.925,57.678,-0.61,-0.276,-0.321,0.152,-36.926,33.142,0.793,0.397565481,0.060600722,0.086992223,-0.161272906,0.372613914,-0.05755688
0.226699781,0.041,0.126,1.025,6.47,13.367,-6.104,0.105,0.48,1.054,60.242,18.127,32.043,-0.735,1.338,0.984,456.97,107.788,162.537,-0.135,-0.388,0.223,-52.979,12.207,5.249,0.050007845,-0.101435922,-0.159279324,0.441819193,0.707912192,-5.16E-05
0.244940954,-0.009,0.118,1.02,-3.54,22.522,-6.47,0.067,0.513,1.044,56.274,16.663,33.264,-0.734,0.762,1.009,-135.925,57.678,-0.61,-0.276,-0.321,0.152,-36.926,33.142,0.793,-0.552425661,0.045870241,-0.889603072,-0.008028173,-0.800918042,0.022411324
0.261444655,0.031,0.044,1.002,3.54,10.742,-5.737,0.107,0.533,0.972,59.57,10.925,33.447,-0.331,1.127,0.68,-252.93,-8.667,-53.772,-0.135,-0.388,0.223,-52.979,12.207,5.249,-0.282102999,0.193176114,-0.991507715,-0.060757286,-0.738052405,-0.018920521
0.28126438,0.078,0.004,1.027,6.897,14.526,-4.333,0.192,0.534,0.931,54.016,-7.935,34.241,-0.182,0.563,0.551,-332.031,-36.804,-76.599,-0.144,-0.411,0.204,-68.176,4.883,0.732,-0.436573453,0.060600722,0.358740626,0.107317481,-0.559926804,-0.016224975
0.291050367,0.022,0.041,1.015,3.052,15.625,-6.104,0.222,0.497,0.929,51.453,-12.085,32.898,-0.331,1.127,0.68,-252.93,-8.667,-53.772,-0.148,-0.5,0.247,-84.961,-1.16,-6.836,-0.444297102,-0.07197467,0.112468801,-0.011323766,-0.046504298,-0.031499658
