KAM,ACCX_F4,ACCY_F4,ACCZ_F4,GYRX_F4,GYRY_F4,GYRZ_F4,ACCX_ED,ACCY_ED,ACCZ_ED,GYRX_ED,GYRY_ED,GYRZ_ED,ACCX_C0,ACCY_C0,ACCZ_C0,GYRX_C0,GYRY_C0,GYRZ_C0,ACCX_46,ACCY_46,ACCZ_46,GYRX_46,GYRY_46,GYRZ_46,LFET_RECTUS_FEM,LEFT_VLO,LEFT_VMO,RIGHT_RECTUS_FEM,RIGHT_VLO,RIGHT_VMO
6.66E-05,-0.803,1.248,-0.025,-222.961,-66.833,-47.424,0,0.393,1.507,-63.782,15.442,-29.724,-0.42,-0.054,1.154,435.73,-44.739,138,0.054,0.129,1.714,151.794,-12.634,-2.38,0.756434861,0.000577609,-0.089791062,0.112993082,0.063600488,-0.03103792
-0.016945257,-0.914,0.912,-0.324,-170.776,-98.022,-27.161,0.031,0.484,1.56,-54.504,15.93,-23.499,0.114,0.938,1.134,468.872,-64.819,149.17,0.539,0.803,1.677,202.759,-32.837,-2.441,-0.090241965,0.027772864,-0.270902801,1,0.081201371,-0.024606737
-0.031635732,-0.479,0.85,-0.639,-121.826,-145.752,4.211,-0.128,0.438,1.821,-48.828,17.517,-25.513,0.093,1.261,0.68,399.048,-38.391,137.207,0.459,0.747,1.545,128.54,-3.418,-18.127,-0.942718052,-0.019818777,-0.011725766,0.014784966,-0.001774292,-0.08034369
-0.038349066,-0.01,1.107,-0.777,-88.196,-96.619,-1.465,-0.214,0.372,1.934,-24.597,32.104,-27.893,0.114,0.938,1.134,468.872,-64.819,149.17,0.539,0.803,1.677,202.759,-32.837,-2.441,0.211313878,0.034571559,0.160018376,-0.254765043,-0.036976058,0.037561154
-0.054646183,0.058,1.327,-0.888,-70.801,-7.446,-27.893,-0.167,0.281,1.977,-1.892,29.663,-20.996,0.093,1.261,0.68,399.048,-38.391,137.207,0.459,0.747,1.545,128.54,-3.418,-18.127,0.060536147,-0.087806725,-0.039829276,0.216425268,-0.172754535,0.091154169
-0.055549869,-0.294,1.292,-0.968,-39.368,73.853,-53.345,-0.083,0.228,1.828,23.315,26.245,-8.728,0.076,1.394,0.813,395.142,-5.005,144.897,-0.197,0.498,1.212,85.083,76.416,-28.809,0.733237819,0.034571559,0.141282361,-0.142974904,-1,0.09222605
-0.073476667,-0.403,1.018,-0.926,-14.832,91.187,-65.247,-0.133,0.129,1.53,49.072,29.358,2.014,0.117,1.407,1.173,357.361,49.194,140.869,-0.349,0.281,0.528,67.017,104.309,-26.855,-0.878926187,-0.074209113,0.163140022,0.121351376,0.267267544,0.090082288
-0.083051096,-0.58,0.261,-0.31,12.939,114.624,-113.464,-0.089,0.28,1.288,77.759,41.199,10.376,0.076,1.394,0.813,395.142,-5.005,144.897,-0.197,0.498,1.212,85.083,76.416,-28.809,1,0.082163089,0.056971625,-0.038498273,-0.851645273,0.012908409
-0.071766419,0.029,-0.649,0.244,-92.407,-52.49,-45.593,-0.36,0.552,0.778,96.924,22.583,16.479,0.117,1.407,1.173,357.361,49.194,140.869,-0.349,0.281,0.528,67.017,104.309,-26.855,-0.623764427,-0.006221188,-0.208450442,-0.070885981,-0.099836049,-0.101780967
-0.042103581,0.187,-0.928,1.38,145.813,134.338,-28.992,-0.78,1.112,0.586,78.552,56.213,9.766,-0.328,0.548,1.207,291.504,135.132,119.934,-0.261,0.137,0.031,66.528,81.543,-19.409,0.843421868,0.088962007,-0.039829276,-0.047901012,-0.034461682,-0.073912402
0.007697491,0.776,-0.678,2.155,184.448,-37.476,21.606,-0.416,1.297,0.808,38.879,-17.273,12.207,-1.735,1.859,1.026,458.618,157.043,90.332,-0.021,0.119,0.016,35.217,25.513,-9.949,-0.206225274,-0.04701389,-0.080423259,0.007471561,0.111374384,-0.067481114
