KAM,ACCX_F4,ACCY_F4,ACCZ_F4,GYRX_F4,GYRY_F4,GYRZ_F4,ACCX_ED,ACCY_ED,ACCZ_ED,GYRX_ED,GYRY_ED,GYRZ_ED,ACCX_C0,ACCY_C0,ACCZ_C0,GYRX_C0,GYRY_C0,GYRZ_C0,ACCX_46,ACCY_46,ACCZ_46,GYRX_46,GYRY_46,GYRZ_46,LFET_RECTUS_FEM,LEFT_VLO,LEFT_VMO,RIGHT_RECTUS_FEM,RIGHT_VLO,RIGHT_VMO
-0.015717299,-0.007,1.585,0.363,-252.991,-34.973,-62.073,-0.406,0.599,0.882,-161.011,18.738,-75.317,-0.14,-0.121,1.141,273.743,-4.761,35.706,0.105,0.277,1.286,101.746,26.123,-6.531,-0.084033502,0.009092905,0.094846021,-0.681536818,-0.067250135,0.013729701
-0.024520689,-0.301,1.467,0.131,-227.051,-31.494,-78.613,-0.394,0.66,0.65,-171.265,-12.207,-62.866,-0.479,-0.23,1.194,368.896,-16.541,85.51,0.148,0.339,1.467,123.779,17.09,-5.371,0.109988394,0.112902178,0.067209092,-0.10568172,-0.106487362,-0.003301651
-0.036819623,-0.571,1.341,-0.173,-195.007,-58.96,-77.332,-0.3,0.345,0.819,-143.005,-35.339,-45.349,-0.188,-0.199,1.25,483.215,-35.522,129.944,0.682,0.074,1.961,212.28,-53.65,-15.747,0.14608544,0.141213686,0.086342201,-0.112537264,-0.106487362,0.013729701
-0.053866062,-0.691,1.251,-0.447,-151.733,-97.717,-69.214,-0.081,0.214,1.349,-99.976,-42.175,-37.72,-0.479,-0.23,1.194,368.896,-16.541,85.51,0.148,0.339,1.467,123.779,17.09,-5.371,0.012977225,-0.151339384,0.090594111,0.046116721,-0.024089378,-0.005624128
-0.067796771,-0.553,1.263,-0.666,-113.464,-134.155,-47.974,-0.077,0.343,1.379,-79.285,-28.137,-31.494,-0.188,-0.199,1.25,483.215,-35.522,129.944,0.682,0.074,1.961,212.28,-53.65,-15.747,-0.08177739,0.141213686,0.135238473,-0.320158457,-0.006432658,0.01140725
-0.06620298,-0.152,1.344,-0.835,-88.684,-140.076,-31.189,-0.178,0.494,1.419,-63.11,1.587,-18.25,-0.046,1.16,1.152,567.383,-4.639,143.921,0.495,1.19,1.471,199.89,24.841,-11.78,0.204742861,-0.094716369,-0.228292897,-0.612981379,0.015147785,-0.019558887
-0.070225034,0.739,1.264,-0.973,-103.394,-146.545,-20.02,-0.151,0.368,1.636,-47.668,-5.188,-5.493,-0.359,1.179,0.866,471.863,-5.31,142.761,-0.073,0.876,1.462,121.887,44.922,-16.479,-0.185557042,0.046841788,-0.264434135,0.527954536,-0.304634748,0.016052178
-0.047596118,0.659,1.096,-0.447,32.593,86.121,-67.383,-0.177,0.328,1.776,-26.367,-4.272,1.709,-0.046,1.16,1.152,567.383,-4.639,143.921,0.495,1.19,1.471,199.89,24.841,-11.78,0.073891127,-0.104153435,0.084216246,-0.645301655,-0.010356381,-0.021881338
0.005484916,0.065,1.07,-0.772,42.236,168.396,-50.537,-0.099,0.351,1.743,-4.089,-11.597,8.728,-0.359,1.179,0.866,471.863,-5.31,142.761,-0.073,0.876,1.462,121.887,44.922,-16.479,-1,0.056278854,0.139490384,1,1,0.021471248
0.079666273,-0.625,0.801,-0.833,-105.408,160.034,-61.523,-0.007,0.296,1.732,18.25,-14.954,17.029,0.055,1.229,1.055,396.057,9.46,175.049,-0.542,0.631,0.912,70.801,75.073,-13.489,-0.799204595,-0.151339384,0.154371373,0.523057719,0.107355172,0.014503868
0.145977856,-0.647,-0.478,0.54,-59.204,138.672,59.631,0.102,0.285,1.613,29.419,-7.629,24.963,-0.026,1.25,1.324,354.004,64.758,151.428,-0.434,0.278,0.271,61.157,54.26,-3.174,0.712359085,0.141213686,0.137364429,-0.341705414,-0.051555373,0.007536489
